pd_AggregateReef,pd_AggregatedPatchReefs,pd_SandwithScatteredCoralandRock,pd_Seagrass,pland_AggregateReef,pland_AggregatedPatchReefs,pland_SandwithScatteredCoralandRock,pland_Seagrass,SitePlot,mpa_distance,mang,land,inlet
62.62365013,93.93547519,187.8709504,31.31182506,5.64216778,34.69247901,37.15378905,15.72725715,M2874,2055.087782,246.6833459,119.762413,1351.542184
62.64511496,62.64511496,125.2902299,93.96767244,2.707797772,32.9562982,39.9143102,19.20594116,M2876,2054.991825,250.4750076,137.4457575,1361.030515
156.8457488,62.73829953,156.8457488,62.73829953,18.27907775,17.64975113,14.66331026,19.73225013,M3857,1435.988547,864.6917539,51.31731538,803.1035808
125.3188661,62.65943303,125.3188661,31.32971651,7.993828924,13.34209474,12.24501457,56.27107022,M3858,1512.180355,788.716294,120.8705592,871.1718057
156.5859518,62.63438071,125.2687614,62.63438071,17.61480466,17.45487777,14.92460589,27.86726068,M3859,1452.098766,848.6346466,66.95305779,818.8935233
125.211548,62.605774,156.514435,31.302887,16.93879881,17.5953414,14.7579356,32.15916876,M3860,1452.108447,848.8769,67.32266642,825.1422826
125.1972528,62.59862641,281.6938188,93.89793961,10.03539217,29.59241923,9.464550748,13.20927046,M4365,1823.622118,479.602051,73.59611635,1112.423764
125.534055,62.7670275,219.6845962,62.7670275,10.99536375,25.47078015,8.419666877,14.01179097,M4366,1838.647277,465.9888839,59.32525121,1121.861619
156.8906286,62.75625143,251.0250057,282.4031314,11.70882454,39.93933845,13.13379879,3.668307199,M4367,1777.711666,526.2442135,84.827978,1067.246437
156.7112635,62.6845054,219.3957689,125.3690108,10.46644564,31.13638962,10.5121756,8.894478107,M4368,1815.452278,488.9274245,67.59767839,1100.924213
62.66659452,62.66659452,62.66659452,31.33329726,3.303045888,20.97262701,48.53991657,4.828847363,M4585,2093.287305,259.9736305,232.8279548,1455.2077
31.33508794,94.00526381,62.67017587,31.33508794,5.080580638,21.25957252,39.65024574,4.343353526,M4586,2088.279687,274.2252223,247.068884,1457.445346
31.32434693,93.9730408,62.64869387,31.32434693,7.055530165,20.50959781,43.48720293,2.736517367,M4587,2102.194803,261.5095083,234.3665898,1469.107209
31.32792645,93.98377935,62.6558529,31.32792645,7.324877157,21.16329562,35.39595475,2.988229917,M4588,2091.1021,278.748471,251.619312,1464.308487
93.98914954,125.3188661,219.3080156,62.65943303,19.43317525,24.17004743,15.02199874,19.96457345,M4849,1391.717027,914.2493254,55.76340495,816.869084
125.3475153,125.3475153,156.6843941,62.67375764,16.71143625,23.67834486,16.04275019,25.65011145,M4850,1406.283755,899.7591047,60.59439402,827.5636006
125.5268701,188.2903052,156.9085877,62.76343506,18.98466117,20.43841575,14.9896978,22.67628205,M4851,1400.751917,903.4352306,45.34050522,814.0143494
125.3475153,125.3475153,156.6843941,62.67375764,20.39206721,20.40921301,13.30513802,19.82625593,M4852,1394.845471,908.7566154,38.09891856,806.2116582
31.35121326,94.05363978,31.35121326,0,9.120018297,25.17010692,29.63005318,0,M7378,2305.78507,93.89763066,70.71458841,1638.164439
31.32255748,62.64511496,62.64511496,0,9.111682376,19.98857469,38.80034276,0,M7379,2282.266859,89.99956802,67.67701454,1611.447813
31.37633011,62.75266022,94.12899034,0,9.12732475,20.81258941,28.24034335,0,M7380,2297.188176,74.1469758,51.49196142,1621.79015
31.29752661,93.89257984,31.29752661,0,9.104400936,23.41457846,35.40156402,0,M7377,2292.237572,95.32007025,72.48620683,1624.244755
62.69525684,94.04288526,125.3905137,0,16.90012006,26.34497742,9.404836773,0,M7493,2122.491244,298.9305134,273.2324645,1516.462704
62.63080344,93.94620516,125.2616069,0,18.2363356,29.61334171,12.8733794,0,M7494,2142.007363,286.6568813,261.3336353,1534.034512
62.6558529,93.98377935,93.98377935,0,15.63249914,31.37927094,19.2206605,0,M7495,2146.440696,273.0054377,247.5710788,1532.80297
93.94083987,93.94083987,125.2544532,0,14.31182182,27.83552256,20.00571102,0,M7496,2127.916715,279.2043175,253.320245,1513.169116
94.13437714,31.37812571,282.4031314,31.37812571,8.332379535,36.56861623,22.55923086,23.46915417,M0869,2034.388144,266.287573,109.7212976,1324.683126
94.13437714,31.37812571,282.4031314,31.37812571,8.332379535,36.56861623,22.55923086,23.46915417,M0870,2034.388144,266.287573,109.7212976,1324.683126
